City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Gorom-Gorom,BF,2021-12-23 05:03:22,14.4439,-0.2361,67.19,15,92,10.2
197,Acari,PE,2021-12-23 05:03:23,-15.4311,-74.6158,69.12,78,94,1.74
198,Smithers,CA,2021-12-23 05:00:57,54.7804,-127.1743,-0.08,85,75,2.3
199,Talcahuano,CL,2021-12-23 05:03:23,-36.7167,-73.1167,55.47,94,12,4.18
200,Bose,IT,2021-12-23 05:03:24,45.4612,8.0137,34.7,83,93,2.71
201,Toritama,BR,2021-12-23 05:03:24,-8.0067,-36.0567,72.68,93,100,3.4
202,Sendafa,ET,2021-12-23 05:03:25,9.15,39.0333,53.62,79,62,4.85
203,Tobol,KZ,2021-12-23 05:03:25,52.6844,62.5794,11.7,87,100,6.42
204,Los Llanos De Aridane,ES,2021-12-23 05:03:25,28.6585,-17.9182,60.55,86,90,8.01
205,Cabo San Lucas,MX,2021-12-23 05:03:26,22.8909,-109.9124,71.51,64,47,2.39
206,Mogocha,RU,2021-12-23 05:03:27,53.7333,119.7667,-13.95,61,94,6.2
207,Castro,BR,2021-12-23 05:03:27,-24.7911,-50.0119,59.68,96,97,2.91
208,Lagoa,PT,2021-12-23 05:03:27,39.05,-27.9833,57.29,71,61,40.8
209,Morant Bay,JM,2021-12-23 05:03:28,17.8815,-76.4093,76.62,84,19,0.31
210,Nusaybin,TR,2021-12-23 05:00:46,37.0778,41.2178,38.44,82,100,3.11
211,Matay,EG,2021-12-23 05:03:29,28.419,30.7792,50.68,90,100,6.22
212,Boende,CD,2021-12-23 05:03:29,-0.2167,20.8667,73.18,88,100,1.01
213,Mecca,SA,2021-12-23 04:58:30,21.4267,39.8261,68.63,51,0,2.77
214,Georgetown,MY,2021-12-23 05:03:30,5.4112,100.3354,87.73,66,20,3.44
215,Nador,MA,2021-12-23 05:03:30,35.174,-2.9287,55.65,88,0,5.75
216,Bilibino,RU,2021-12-23 05:03:30,68.0546,166.4372,-31.04,99,100,1.81
217,Stepnyak,KZ,2021-12-23 05:03:31,52.8339,70.7803,15.26,96,99,1.07
218,Porto Novo,BJ,2021-12-23 05:00:33,6.4965,2.6036,75.15,41,86,3.67
219,Rincon,US,2021-12-23 05:03:31,32.296,-81.2354,49.86,81,1,4.61
220,Desterro,BR,2021-12-23 05:03:32,-7.2906,-37.0939,71.49,83,87,6.38
221,Pochutla,MX,2021-12-23 05:03:32,15.7432,-96.4661,74.25,88,9,2.59
222,Cockburn Town,TC,2021-12-23 05:03:33,21.4612,-71.1419,78.98,74,11,7.74
223,Mayo,US,2021-12-23 05:03:33,38.8876,-76.5119,35.17,55,0,11.01
224,Klaksvik,FO,2021-12-23 05:03:34,62.2266,-6.589,34.72,65,91,23.51
225,Novo Aripuana,BR,2021-12-23 05:03:34,-5.1206,-60.3797,74.03,98,100,1.7
226,Cayenne,GF,2021-12-23 05:04:35,4.9333,-52.3333,79.09,90,75,5.01
227,Hobbs,US,2021-12-23 05:04:35,32.7026,-103.136,59.67,27,1,11.5
228,Traverse City,US,2021-12-23 05:00:11,44.7631,-85.6206,24.98,84,72,3.0
229,Svetlogorsk,BY,2021-12-23 05:04:35,52.6333,29.7333,11.48,96,7,5.28
230,Oranjemund,NA,2021-12-23 05:04:36,-28.55,16.4333,63.39,77,63,1.63
231,Xichang,CN,2021-12-23 05:04:36,27.8964,102.2634,55.58,62,50,4.5
232,East London,ZA,2021-12-23 05:00:36,-33.0153,27.9116,65.34,94,75,12.66
233,Synya,RU,2021-12-23 05:04:37,65.3718,58.0387,-4.22,98,95,4.34
234,Meulaboh,ID,2021-12-23 05:04:38,4.1363,96.1285,83.08,69,100,3.65
235,Carnarvon,AU,2021-12-23 05:04:38,-24.8667,113.6333,80.67,69,0,21.85
236,Atambua,ID,2021-12-23 05:04:38,-9.1061,124.8925,83.19,68,91,3.4
237,Codrington,AU,2021-12-23 05:04:39,-38.2667,141.9667,63.63,56,84,11.83
238,Port Elizabeth,ZA,2021-12-23 05:04:39,-33.918,25.5701,63.1,84,98,13.71
239,Mantua,IT,2021-12-23 05:04:40,45.1667,10.7833,36.72,90,73,4.0
240,Kosh-Agach,RU,2021-12-23 05:04:40,50.0,88.6667,0.23,86,36,1.16
241,Kaka,TM,2021-12-23 05:04:40,37.3482,59.6143,45.54,58,0,3.8
242,Jining,CN,2021-12-23 05:00:23,35.405,116.5814,48.0,1,61,2.57
243,Gogrial,SS,2021-12-23 05:04:41,8.5332,28.1004,72.36,22,37,7.16
