City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Dunedin,NZ,-45.8742,170.5036,57.97,93,98,12.37,overcast clouds
231,Longyearbyen,SJ,78.2186,15.6401,-2.36,71,0,12.66,clear sky
232,Lorengau,PG,-2.0226,147.2712,83.05,74,100,10.71,overcast clouds
233,Labis,MY,2.385,103.021,78.33,84,35,4.5,scattered clouds
234,Muros,ES,42.7762,-9.0603,49.23,96,59,3.56,broken clouds
235,Brae,GB,60.3964,-1.353,40.91,71,83,33.82,broken clouds
236,Vestmanna,FO,62.1564,-7.1664,32.92,69,75,18.41,light snow
237,Qui Nhon,VN,13.7667,109.2333,74.95,85,37,6.89,scattered clouds
238,Livingston,GB,55.9029,-3.5226,38.8,80,20,9.22,few clouds
239,Burns Lake,CA,54.2331,-125.7533,-13.58,96,100,1.95,overcast clouds
240,Labuhan,ID,-6.8844,112.2051,82.65,72,89,6.78,overcast clouds
241,Kaputa,ZM,-8.4689,29.6619,67.78,89,100,2.95,light rain
242,Alofi,NU,-19.0595,-169.9187,85.89,70,99,8.05,light rain
243,Gizo,SB,-8.103,156.8419,84.34,74,90,9.24,light rain
244,Codrington,AU,-38.2667,141.9667,60.67,95,100,24.87,overcast clouds
245,Debre Sina,ET,9.85,39.7667,51.44,97,95,3.47,light rain
246,Salinopolis,BR,-0.6136,-47.3561,77.61,85,85,7.38,overcast clouds
247,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,26.46,light snow
248,Olafsvik,IS,64.8945,-23.7142,33.85,74,100,19.98,overcast clouds
249,Wattegama,LK,6.7989,81.4808,74.39,88,97,3.42,overcast clouds
250,Ambilobe,MG,-13.2,49.05,75.02,93,91,2.8,overcast clouds
251,Dudinka,RU,69.4058,86.1778,11.62,92,100,22.97,light snow
252,Itaituba,BR,-4.2761,-55.9836,73.11,98,100,1.86,overcast clouds
253,Anadyr,RU,64.75,177.4833,12.7,85,0,0.0,clear sky
254,Kalavad,IN,22.2167,70.3833,70.36,66,82,6.67,broken clouds
255,Tombouctou,ML,20.0,-3.0,60.51,27,0,10.29,clear sky
256,Intipuca,SV,13.1969,-88.0544,82.35,60,71,1.88,broken clouds
257,Norman Wells,CA,65.282,-126.8329,-43.56,66,20,2.3,few clouds
258,Amberley,US,39.2048,-84.428,41.31,74,1,5.99,clear sky
259,Jos,NG,9.9167,8.9,57.49,50,94,3.62,overcast clouds
260,George,ZA,-33.963,22.4617,62.15,94,90,8.05,overcast clouds
261,Kihei,US,20.785,-156.4656,80.62,76,20,16.11,few clouds
262,Uchkent,RU,43.1143,47.0826,43.14,80,75,12.91,broken clouds
263,Beringovskiy,RU,63.05,179.3167,10.9,90,98,5.66,overcast clouds
264,Porto Novo,BJ,6.4965,2.6036,78.75,76,100,4.12,overcast clouds
265,Korla,CN,41.7597,86.1469,22.42,60,98,3.24,overcast clouds
266,Geraldton,AU,-28.7667,114.6,100.81,20,0,10.36,clear sky
267,Natal,BR,-5.795,-35.2094,81.25,83,75,12.66,broken clouds
268,Tulun,RU,54.5611,100.5792,-4.29,100,42,3.69,scattered clouds
269,Belaya Gora,RU,68.5333,146.4167,-26.48,97,100,1.48,overcast clouds
270,Lagoa,PT,39.05,-27.9833,58.73,67,97,6.04,overcast clouds
271,Ambon,ID,-3.6954,128.1814,86.14,66,40,3.44,scattered clouds
272,Kaeo,NZ,-35.1,173.7833,78.24,55,85,4.43,overcast clouds
